figi,ticker,name,uid
BBG000RMWQD4,ENPG,En+ Group,e2bd2eba-75de-4127-b39c-2f2dbe3866c3
BBG004PYF2N3,POLY,Polymetal,127361c2-32ec-448c-b3ec-602166f537ea
BBG004RVFCY3,MGNT,Магнит,ca845f68-6c43-44bc-b584-330d2a1e5eb7
BBG00ZHCX1X2,FIXP,Fix Price Group,ba64a3c7-dd1d-4f19-8758-94aac17d971b
BBG00178PGX3,VKCO,VK,3c0748ce-9b49-43e9-b788-048a6cb65174
BBG004S689R0,PHOR,ФосАгро,9978b56f-782a-4a80-a4b1-a48cbecfd194
BBG007N0Z367,AGRO,РусАгро,46ae47ee-f409-4776-bf20-43a040b9e7fb
BBG004S68829,TATNP,Татнефть - привилегированные акции,efdb54d3-2f92-44da-b7a3-8849e96039f6
BBG004S68507,MAGN,Магнитогорский металлургический комбинат,7132b1c9-ee26-4464-b5b5-1046264b61d9
BBG004730ZJ9,VTBR,Банк ВТБ,8e2b0325-0292-4654-8a18-4f63ed3b0e09
BBG004S683W7,AFLT,Аэрофлот,1c69e020-f3b1-455c-affa-45f8b8049234
BBG008F2T3T2,RUAL,РУСАЛ,f866872b-8f68-4b6e-930f-749fe9aa79c0
BBG004730N88,SBER,Сбер Банк,e6123145-9665-43e0-8413-cd61b8aa9b13
BBG004S68B31,ALRS,АЛРОСА,30817fea-20e6-4fee-ab1f-d20fc1a1bb72
BBG004RVFFC0,TATN,Татнефть,88468f6c-c67a-4fb4-a006-53eed803883c
BBG00JXPFBN0,FIVE,X5 RetailGroup ГДР,cc68221f-cc21-42a4-a52f-d819bfe4d4c0
BBG004730RP0,GAZP,Газпром,962e2a95-02a9-4171-abd7-aa198dbe643a
BBG0047315Y7,SBERP,Сбер Банк - привилегированные акции,c190ff1f-1447-4227-b543-316332699ca5
BBG004S682Z6,RTKM,Ростелеком,02eda274-10c4-4815-8e02-a8ee7eaf485b
BBG004S681W1,MTSS,МТС,cd8063ad-73ad-4b31-bd0d-93138d9e99a2
BBG00475KHX6,TRNFP,Транснефть - привилегированные акции,653d47e9-dbd4-407a-a1c3-47f897df4694
BBG004S68473,IRAO,Интер РАО ЕЭС,2dfbc1fd-b92a-436e-b011-928c79e805f2
BBG00475K2X9,HYDR,РусГидро,62560f05-3fd0-4d65-88f0-a27f249cc6de
BBG004S681B4,NLMK,НЛМК,161eb0d0-aaac-4451-b374-f5d0eeb1b508
BBG00QPYJ5H0,TCSG,TCS Group,6afa6f80-03a7-4d83-9cf0-c19d7d021f76
BBG004S681M2,SNGSP,Сургутнефтегаз - привилегированные акции,a797f14a-8513-4b84-b15e-a3b98dc4cc00
BBG006L8G4H1,YNDX,Yandex,10e17a87-3bce-4a1f-9dfc-720396f98a3c
BBG00475KKY8,NVTK,НОВАТЭК,0da66728-6c30-44c4-9264-df8fac2467ee
BBG004731489,GMKN,Норильский никель,509edd0c-129c-4ee2-934d-7f6246126da1
BBG004730JJ5,MOEX,Московская Биржа,5e1c2634-afc4-4e50-ad6d-f78fc14a539a
BBG004S68614,AFKS,АФК Система,53b67587-96eb-4b41-8e0c-d2e3c0bdd234
BBG000R607Y3,PLZL,Полюс,10620843-28ce-44e8-80c2-f26ceb1bd3e1
BBG00Y91R9T3,OZON,Ozon Holdings PLC,35fb8d6b-ed5f-45ca-b383-c4e3752c9a8a
BBG004731032,LKOH,ЛУКОЙЛ,02cfdf61-6298-4c0f-a9ca-9cabc82afaf3
BBG000VFX6Y4,GLTR,Globaltrans Investment PLC,2c0e65d1-d8da-477c-a438-ac41bb132e25
BBG0047315D0,SNGS,Сургутнефтегаз,1ffe1bff-d7b7-4b04-b482-34dc9cc0a4ba
BBG009GSYN76,CBOM,МКБ,ebfda284-4291-4337-9dfb-f55610d0a907
BBG004S68BH6,PIKK,ПИК,03d5e771-fc10-438e-8892-85a40733612d
BBG004731354,ROSN,Роснефть,fd417230-19cf-4e7b-9623-f7c9ca18ec6b
BBG00475K6C3,CHMF,Северсталь,fa6aae10-b8d5-48c8-bbfd-d320d925d096
